站名,车站地址,铁路局,类别,性质,省,市,lng火星,lat火星,WGS84_Lng,WGS84_Lat,BD_Lng,BD_Lat
东光站,河北省沧州市东光县观州路与建设大街交口,北京铁路局, ,客运站,河北,沧州,116.537173,37.898774,116.531533,37.898144,116.543697385006,37.9047458654063
青县站,河北省沧州市青县清州镇迎宾路72号,北京铁路局, ,客运站,河北,沧州,116.838228,38.577638,116.832404999999,38.57705,116.844858036746,38.5833480167395
肃宁站,河北省沧州市肃宁县站前街,北京铁路局, ,客运站,河北,沧州,115.849967,38.4150739999999,115.844117999999,38.4145559999999,115.85639802547,38.4213997160902
沧州站,河北省沧州市新华区新华东路2号,北京铁路局, ,客运站,河北,沧州,116.877566,38.3092359999999,116.871827,38.3087349999999,116.884192361132,38.3149219613979
高寺台,河北省承德市承德县高寺台镇营房村,北京铁路局, ,乘降所,河北,沧州,117.963552,41.159951,117.957195,41.1581959999999,117.969903071921,41.1662828222726
永和,河北省承德市承德县甲山镇松挠沟门村,北京铁路局, ,乘降所,河北,承德,118.351094,40.7784979999999,118.344663999999,40.7768099999999,118.357537814339,40.7846495221014
甲山,河北省承德市承德县甲山镇武场村,北京铁路局, ,乘降所,河北,承德,118.265047,40.7887679999999,118.258754,40.7872059999999,118.271475119091,40.7950066009723
南湾子,河北省承德市承德县刘杖子乡二道营村,北京铁路局, ,乘降所,河北,承德,117.81973,40.7302469999999,117.813331,40.728822,117.826158856521,40.7365604431582
大杖子,河北省承德市承德县上谷乡屈家沟村,北京铁路局, ,乘降所,河北,承德,118.549993,40.8514509999999,118.543961,40.8499709999999,118.55653891529,40.8574103947275
新杖子站,河北省承德市承德县新杖子村新达胡同1号,北京铁路局, ,客运站,河北,承德,118.338629,40.878753,118.33221,40.8770069999999,118.345062401774,40.8849143350262
上板城南站,河北省承德市开发新区上板城镇,北京铁路局, ,客运站,河北,承德,118.047459,40.8252719999999,118.040886,40.823562,118.053831756413,40.8316098530967
隆化站,河北省承德市隆化县北安路8号,北京铁路局, ,客运站,河北,承德,117.751064,41.3287619999999,117.744455,41.326788,117.757461141107,41.3350052158797
韩麻营,河北省承德市隆化县韩麻营镇十八里汰村,北京铁路局, ,乘降所,河北,承德,117.841663999999,41.278117,117.835254,41.276293,117.848058837369,41.2844328033728
超梁沟,河北省承德市隆化县隆化镇超梁沟村,北京铁路局, ,乘降所,河北,承德,117.696423999999,41.2336299999999,117.689877999999,41.231771,117.702825814201,41.2398168706289
闹海营,河北省承德市隆化县隆化镇闹海营村,北京铁路局, ,乘降所,河北,承德,117.717051,41.294443,117.710463,41.292512,117.72344848828,41.3006509174049
五道河,河北省承德市滦平县安纯沟门乡五道河村平甸子自然村,北京铁路局, ,乘降所,河北,承德,117.065948,40.894088,117.059334,40.8923109999999,117.072556063847,40.8997346110532
二道沟门,河北省承德市滦平县安纯沟门乡小白旗村,北京铁路局, ,乘降所,河北,承德,117.151363,40.8866179999999,117.144738,40.8848759999999,117.157989117623,40.8923180561395
流水沟,河北省承德市滦平县巴克什营镇流水沟村,北京铁路局, ,乘降所,河北,承德,117.145512,40.7067229999999,117.138903,40.705112,117.152146824266,40.7124227140973
窑上,河北省承德市滦平县大屯乡大屯村,北京铁路局, ,乘降所,河北,承德,117.408626,40.984166,117.401807,40.982283,117.415160611807,40.9900661011382
白旗,河北省承德市滦平县红旗镇北白旗村,北京铁路局, ,乘降所,河北,承德,117.672244,41.158852,117.665762,41.1570949999999,117.678656646413,41.1650172001424
梁底下,河北省承德市滦平县红旗镇桥头村,北京铁路局, ,乘降所,河北,承德,117.625721,41.108235,117.619338,41.1065949999999,117.632159684713,41.1143606756919
猴山,河北省承德市滦平县虎什哈镇猴山村,北京铁路局, ,乘降所,河北,承德,117.029415,40.8158219999999,117.022936,40.8141869999999,117.036019459812,40.8214572077816
